0.199493642,3.250444613,0.199635765,4.255209808,0.20108646,2.240694661
0.219208852,3.398248464,0.222334873,4.339455687,0.223006886,2.339931735
0.238923898,3.544869885,0.243540619,4.415050007,0.245183317,2.468895139
0.25863267,3.646558934,0.263253002,4.484160557,0.264575694,2.662580383
0.278337151,3.717504783,0.285653437,4.559739197,0.287744144,2.699748094
0.298041797,3.789633062,0.308352545,4.637481706,0.308053872,2.740669537
0.317746277,3.86057891,0.32955829,4.704404866,0.329259618,2.801089328
0.337451418,3.936254482,0.353750761,4.795134514,0.350166691,2.872351988
0.357156394,4.010747623,0.376961878,4.943787999,0.371372436,2.934939569
0.376863186,4.098247503,0.396162252,5.124081919,0.394071544,3.030024397
0.396572784,4.205848707,0.41613064,5.326043656,0.413783927,3.112141686
0.416282217,4.312267479,0.437635058,5.537585446,0.437635058,3.216811606
0.43599198,4.421051114,0.460974178,5.728044625,0.458883471,3.304483052
0.455700753,4.522740163,0.482179923,5.792799996,0.480089216,3.358399473
0.475403913,4.584226565,0.503385669,5.848884208,0.504281686,3.416612274
0.495105092,4.631523798,0.527578139,5.922271537,0.525487432,3.457521957
0.514806271,4.67882103,0.548783885,5.976187958,0.54818654,3.509250988
0.53450778,4.728483124,0.571482992,6.017078041,0.569392285,3.547992881
0.554209455,4.779327649,0.592688738,6.016799717,0.592091393,3.597554123
0.573910469,4.82544245,0.615387846,6.033844111,0.61371528,3.644094571
0.593609997,4.860915374,0.636593591,6.057411476,0.635996246,3.675018308
0.613308205,4.886928852,0.658874558,6.080964728,0.657201992,3.698585672
0.633006083,4.910577468,0.680498445,6.102358814,0.6799011,3.726469016
0.652704125,4.935408515,0.703197552,6.138913317,0.701524987,3.757401377
0.672403654,4.97088144,0.72589666,6.223159195,0.723805953,3.795262042
0.692112426,5.072570489,0.747102406,6.303089095,0.745011698,3.842675094
0.711822024,5.180171693,0.772745571,6.412071074,0.769204169,3.905223474
0.731531787,5.288955327,0.794505994,6.54556907,0.790409914,3.956972106
0.75124122,5.3953741,0.815199729,6.67939075,0.811658327,4.033185234
0.77094339,5.449765917,0.837258825,6.829298092,0.83580813,4.118960494
0.790640442,5.467502379,0.859019248,6.964654194,0.858507238,4.201038583
0.810336834,5.480509118,0.881206345,7.01019626,0.879712983,4.278800693
0.830033721,5.497063149,0.903666515,7.0168384,0.903905453,4.365194761
0.849730278,5.511252319,0.926604561,7.02694273,0.926092551,4.440466516
0.869427496,5.530171212,0.947810307,7.035335566,0.947810307,4.488182532
0.889131151,5.595204907,0.967821362,7.117448935,0.969016052,4.479233049
0.908837778,5.681522356,0.991416487,7.238535481,0.991476222,4.474169124
0.928544239,5.766657374,1.013134243,7.347259296,1.014414268,4.454791513
0.948250371,5.84942753,1.034126651,7.454753895,1.035620013,4.45017761
0.96795188,5.899089624,1.057679109,7.577079737,1.056825759,4.439060337
0.987652069,5.939292272,1.079439532,7.691996678,1.079524867,4.423587884
1.007352422,5.98067735,1.10043194,7.792058854,1.101148753,4.418101377
1.027052776,6.022062429,1.122533702,7.871976993,1.12342972,4.425179426
1.046753295,6.064629938,1.143739448,7.941067943,1.144635465,4.489934797
1.066453484,6.104832585,1.166438556,8.023146032,1.165542538,4.574204196
1.086153837,6.146217663,1.186449611,8.084882177,1.187729636,4.656289005
1.105854521,6.189967603,1.208551374,8.143989534,1.209447392,4.740547763
1.125557516,6.250271575,1.22975712,8.195738166,1.229159775,4.811826104
1.145260511,6.310575546,1.252038086,8.247906244,1.253010905,4.906276443
1.164963836,6.373244379,1.273661973,8.299215829,1.274259318,4.99549631
1.184666996,6.434730781,1.296361081,8.350944861,1.295507731,5.082238703
1.204370156,6.496217183,1.319060189,8.409177262,1.321108229,5.178524187
1.224073316,6.557703585,1.340265934,8.460925893,1.342356641,5.259072895
1.243776642,6.620372418,1.359978317,8.527868654,1.363562387,5.323828266
1.263479637,6.680676389,1.383872115,8.64678349,1.387754857,5.384208856
1.283182962,6.743345222,1.40558987,8.765417201,1.408960603,5.429454119
1.302886122,6.804831624,1.426283606,8.880348142,1.43165971,5.48551873
1.322589612,6.868682887,1.446892007,8.992802729,1.452865456,5.537267362
1.342292937,6.93135172,1.469079104,9.108333438,1.475564564,5.586828603
1.361996097,6.992838122,1.490839527,9.223250378,1.498263672,5.647228794
1.381699587,7.056689386,1.516482692,9.362581415,1.519469417,5.694641846
1.401402582,7.116993357,1.538200448,9.475331126,1.539480473,5.739035673
1.421106568,7.184391913,1.558894183,9.589642698,1.561582236,5.79163966
1.440811048,7.255337762,1.579502584,9.699929495,1.582787981,5.830381553
1.460515034,7.322736318,1.602201692,9.8210278,1.603993727,5.875626815
1.480219349,7.392499736,1.623450105,9.931306197,1.626692834,5.927355847
1.49992383,7.463445584,1.647360969,9.983019324,1.649391942,5.933561292
1.519628476,7.535573863,1.670299015,9.978382684,1.670597688,5.90943728
1.539332791,7.605337281,1.691504761,9.962929832,1.692878654,5.885299156
1.559036612,7.671553406,1.712710506,9.956148139,1.714502541,5.861169656
1.578741258,7.743681686,1.735409614,9.949346845,1.737201649,5.834858255
1.598445738,7.814627534,1.757033501,9.937356968,1.758407394,5.812902033
1.618150384,7.886755814,1.779314467,9.929260489,1.77961314,5.788778021
1.637851068,7.930505754,1.800520213,9.920311006,1.802551186,5.761596367
1.65754845,7.950607077,1.823219321,9.911341922,1.825011356,5.738323007
1.677245502,7.968343539,1.844425066,9.902392439,1.846217101,5.712031205
1.69694239,7.984897571,1.857566655,9.902219957,,
1.716639607,8.003816464,,,,
1.736336659,8.021552926,,,,
