0.220502245,9.049703184
0.232958009,10.25379248
0.275624797,14.36889755
0.288588411,15.61630472
0.326097582,19.21796082
0.339878788,20.53839823
0.376176131,24.00889266
0.38998535,25.32644879
0.430072936,29.14256781
0.443511582,30.41895984
0.485239,34.37293723
0.514999377,37.18439186
0.56050597,41.46960889
0.574236209,42.75927188
0.615925666,46.66581254
0.64581655,49.45815245
0.671293032,51.83243459
0.699755556,54.4788252
0.726725503,56.98042487
0.753198643,59.43025187
0.781169798,62.01257936
0.807275883,64.41704253
0.85001738,68.34184886
0.863826641,69.6067649
0.902940995,73.18127783
0.915706723,74.34522524
0.956672202,78.07150166
0.989812927,81.07614817
1.015587669,83.406862
1.040800358,85.68158026
1.069927434,88.30309208
1.093061104,90.38031864
1.117586649,92.57782282
1.146997866,95.20670498
1.173792802,97.59567604
1.21337721,101.1143553
1.229552702,102.5485751
1.27584403,106.6414204
1.307668786,109.4452039
1.333444311,111.7100736
1.359156443,113.9640475
1.38644459,116.3503599
1.419490307,119.2321439
1.437074357,120.7619968
1.464822149,123.1710587
1.495428779,125.8211402
