0.204693248,5.078673599,6.333174417,3.686693239
0.224060508,5.358831346,6.71644182,3.880926272
0.24341279,5.657265577,7.06643088,4.059065904
0.265195876,5.791617618,7.235152806,4.227787831
0.286251433,5.94105914,7.384594328,4.394414295
0.309917536,6.096936899,7.557657029,4.550292054
0.331700623,6.254006631,7.714726762,4.690176844
0.352756179,6.396177184,7.856897315,4.84953234
0.377406587,6.515854343,8.096869073,4.969209499
0.399232469,6.618407234,8.336901506,5.106132275
0.423112552,6.694529909,8.60205855,5.268179663
0.445965534,6.822229475,8.867237658,5.430249115
0.468390558,6.970023967,9.032217093,5.578043607
0.489660094,7.172298899,9.097012483,5.660023939
0.512427484,7.383457626,9.187876611,5.69933324
0.53369702,7.568547615,9.252672001,5.76412863
0.556464411,7.763393271,9.327223058,5.85586463
0.579231802,7.890146156,9.453975943,5.948247629
0.600800908,7.956662285,9.640786671,6.0319487
0.624467012,8.022042147,9.860831018,6.131698448
0.646250098,8.092375598,10.05145907,6.219216842
0.667006084,8.163136897,10.22533002,6.289978141
0.690971758,8.250712671,10.3129058,6.429108743
0.712241294,8.381857089,10.3581255,6.560253161
0.73351083,8.505604407,10.41313305,6.701185422
0.761071355,8.659451987,10.48105592,6.872217945
