Day,HR (bpm)
355,126.7457539
356,126.7049512
357,126.6641485
358,126.6233458
359,126.5825431
360,126.5417404
361,126.5009377
362,126.460135
363,126.4193323
364,126.3785296
365,126.3377269
366,126.2870585
367,126.2363901
368,126.1857217
369,126.1350533
370,126.0843849
371,126.0337165
372,125.9830481
373,125.9323797
374,125.8817113
375,125.8310429
376,125.7803745
377,125.7297061
378,125.6790377
379,125.6283693
380,125.5777009
381,125.5270325
382,125.4763641
383,125.4256957
384,125.3750273
385,125.3243588
386,125.2736904
387,125.223022
388,125.1723536
389,125.1216852
390,125.0710168
391,125.0203484
392,124.96968
393,124.9190116
394,124.8683432
395,124.8176748
396,124.7885981
397,124.7595214
398,124.7304447
399,124.701368
400,124.6722913
401,124.6432146
402,124.6141379
403,124.5850613
404,124.5559846
405,124.5269079
406,124.4978312
407,124.4687545
408,124.4396778
409,124.4106011
410,124.3815244
411,124.3524477
412,124.323371
413,124.2942943
414,124.2652176
415,124.2361409
416,124.2070642
417,124.1779875
418,124.1489108
419,124.1198341
420,124.0907574
421,124.0616807
422,124.032604
423,124.0035273
424,123.9744506
425,123.9453739
426,123.8947281
427,123.8440822
428,123.7934363
429,123.7427904
430,123.6921445
431,123.6414986
432,123.5908528
433,123.5402069
434,123.489561
435,123.4389151
436,123.3882692
437,123.3376233
438,123.2869775
439,123.2363316
440,123.1856857
441,123.1350398
442,123.0843939
443,123.033748
444,122.9831021
445,122.9324563
446,122.8818104
447,122.8311645
448,122.7805186
449,122.7298727
450,122.6792268
451,122.628581
452,122.5779351
453,122.5272892
454,122.4766433
455,122.4259974
456,122.4041899
457,122.3823824
458,122.3605749
459,122.3387673
460,122.3169598
461,122.2951523
462,122.2733448
463,122.2515373
464,122.2297297
465,122.2079222
466,122.1861147
467,122.1643072
468,122.1424996
469,122.1206921
470,122.0988846
471,122.0770771
472,122.0552696
473,122.033462
474,122.0116545
475,121.989847
476,121.9680395
477,121.9462319
478,121.9244244
479,121.9026169
480,121.8808094
481,121.8590019
482,121.8371943
