Day,Weight (kg)
0,4.0825325
1,4.025377045
2,3.96822159
3,3.911066135
4,3.85391068
5,3.796755225
6,3.85391068
7,3.911066135
8,3.96822159
9,4.025377045
10,4.0825325
11,4.123514214
12,4.164495929
13,4.205477643
14,4.246459357
15,4.287441071
16,4.328422786
17,4.3694045
18,4.410386214
19,4.451367929
20,4.492349643
21,4.533331357
22,4.574313071
23,4.615294786
24,4.6562765
25,4.697258214
26,4.738239929
27,4.779221643
28,4.820203357
29,4.861185071
30,4.902166786
31,4.9431485
32,4.984130214
33,5.025111929
34,5.066093643
35,5.107075357
36,5.148057071
37,5.189038786
38,5.2300205
39,5.271002214
40,5.311983929
41,5.352965643
42,5.393947357
43,5.434929071
44,5.475910786
45,5.5168925
46,5.545106417
47,5.573320333
48,5.60153425
49,5.629748167
50,5.657962083
51,5.686176
52,5.714389917
53,5.742603833
54,5.77081775
55,5.799031667
56,5.827245583
57,5.8554595
58,5.883673417
59,5.911887333
60,5.94010125
61,5.968315167
62,5.996529083
63,6.024743
64,6.052956917
65,6.081170833
66,6.10938475
67,6.137598667
68,6.165812583
69,6.1940265
70,6.222240417
71,6.250454333
72,6.27866825
73,6.306882167
74,6.335096083
75,6.36331
76,6.3889242
77,6.4145384
78,6.4401526
79,6.4657668
80,6.491381
81,6.5169952
82,6.5426094
83,6.5682236
84,6.5938378
85,6.619452
86,6.6450662
87,6.6706804
88,6.6962946
89,6.7219088
90,6.747523
91,6.7731372
92,6.7987514
93,6.8243656
94,6.8499798
95,6.875594
96,6.9012082
97,6.9268224
98,6.9524366
99,6.9780508
100,7.003665
101,7.0292792
102,7.0548934
103,7.0805076
104,7.1061218
105,7.131736
106,7.155
107,7.178264
108,7.201528
109,7.224792
110,7.248056
111,7.27132
112,7.294584
113,7.317848
114,7.341112
115,7.364376
116,7.38764
117,7.410904
118,7.434168
119,7.457432
120,7.480696
121,7.50396
122,7.527224
123,7.550488
124,7.573752
125,7.597016
126,7.62028
127,7.643544
128,7.666808
129,7.690072
130,7.713336
131,7.7366
132,7.759864
133,7.783128
134,7.806392
135,7.829656
136,7.85079605
137,7.8719361
138,7.89307615
139,7.9142162
140,7.93535625
141,7.9564963
142,7.97763635
143,7.9987764
144,8.01991645
145,8.0410565
146,8.06219655
147,8.0833366
148,8.10447665
149,8.1256167
150,8.14675675
151,8.1678968
152,8.18903685
153,8.2101769
154,8.23131695
155,8.252457
156,8.27359705
157,8.2947371
158,8.31587715
159,8.3370172
160,8.35815725
161,8.3792973
162,8.40043735
163,8.4215774
164,8.44271745
165,8.4638575
166,8.483080617
167,8.502303733
168,8.52152685
169,8.540749967
170,8.559973083
171,8.5791962
172,8.598419317
173,8.617642433
174,8.63686555
175,8.656088667
176,8.675311783
177,8.6945349
